text_id,lexile_band,lexile_score,age_group,grade_hint,genre,topic,word_count,length_type,text_body,sentence_count,avg_sentence_length,vocabulary_band,intended_use,created_date,notes
L500-NAR-050-001,500-700,520,Transitional,초5,Narrative,A Mysterious Letter,52,Micro,"When Maya checked the mailbox after school, she discovered a strange envelope. It had no return address, and her name was written in silver ink. Her hands trembled as she opened it. Inside was a single card that read: ""Meet me at the old oak tree at sunset.""",4,13.0,A2,워밍업,2026-02-03,Mix of compound and complex sentences; subordinate clause with when; vocabulary includes discovered
L500-NAR-100-001,500-700,540,Transitional,초5,Narrative,The Talent Show,103,Short,"Jiwoo had practiced her song for weeks, although she still felt nervous about the talent show. When she walked onto the stage, the bright lights made her freeze. The audience waited in silence. Then she heard her best friend whisper from the front row. ""You can do this!"" Jiwoo took a deep breath and began to sing. Her voice filled the room, and the crowd started to smile. By the end, everyone was clapping. She realized that courage was not about feeling no fear. It was about singing anyway.",8,12.9,A2,수업,2026-02-03,Complex and compound sentences; subordinate clauses with although and when; relative clause with that
L500-NAR-200-001,500-700,580,Transitional,초6,Narrative,Moving to a New City,198,Medium,"When Seoho's family moved to a new city, everything felt unfamiliar. The streets were wider, the buildings were taller, and the school was enormous compared to his old one. On his first day, he sat alone at lunch while other students talked and laughed around him. He missed his old friends, who always saved him a seat. After a few days, a boy named Daniel noticed Seoho sitting by himself. Daniel walked over and asked if he wanted to join a game of basketball. Although Seoho was not very good at basketball, he agreed to play. The other kids did not mind that he missed most of his shots. They cheered for him when he finally scored a point. Slowly, Seoho began to discover that making friends in a new place was possible. He learned that being brave enough to say yes was the first step. By the end of the month, Seoho had a small group of friends who made the new city feel like home. He still missed his old town sometimes, but he understood that change could bring good things if he gave it a chance.",16,12.4,A2/B1,수업,2026-02-03,Full range of sentence types; relative clauses with who and that; subordinate clauses with when while although and if; academic vocabulary includes compared discover environment
L500-EXP-050-001,500-700,560,Transitional,초5,Expository,The Solar System,50,Micro,"Our solar system contains eight planets that orbit the sun. The four inner planets, which are Mercury, Venus, Earth, and Mars, are made of rock. The outer planets are much larger and consist mostly of gas. Scientists continue to discover new facts about these distant worlds.",4,12.5,A2/B1,워밍업,2026-02-03,Relative clauses with that and which; academic vocabulary includes orbit consist discover; science topic
L500-EXP-100-001,500-700,600,Transitional,초6,Expository,How Computers Work,101,Short,"A computer is a machine that follows instructions to process information. When you type on a keyboard, the computer receives signals and converts them into data. The processor, which is often called the brain of the computer, handles millions of calculations each second. It compares and sorts information at incredible speed. The results appear on your screen almost instantly. Although computers seem very smart, they can only do what humans program them to do. Every app and game that you enjoy was created by a person who wrote special code.",8,12.6,A2/B1,수업,2026-02-03,Relative clauses with that and who; subordinate clauses with when and although; academic vocabulary includes process converts calculations compares results
L500-EXP-200-001,500-700,620,Transitional,초6,Expository,Volcanoes,199,Medium,"Volcanoes are openings in the Earth's surface where melted rock, called magma, escapes from deep underground. When pressure builds up beneath the surface, an eruption can occur. During an eruption, hot lava flows down the sides of the volcano while ash and gas shoot into the sky. There are three main types of volcanoes that scientists have identified. Shield volcanoes, which are found in places like Hawaii, have gentle slopes and produce slow-moving lava. Stratovolcanoes are tall and steep, and they can cause violent eruptions. Cinder cone volcanoes are the smallest type, and they are built from pieces of lava that cool in the air. Volcanoes can be dangerous, although they also provide benefits to the environment. Volcanic soil is extremely rich in nutrients, which helps plants grow well. Many communities that live near volcanoes depend on this fertile land for farming. Scientists who study volcanoes are called volcanologists. They use special tools to monitor volcanic activity and compare data from different eruptions. Their research helps predict when a volcano might erupt, so people in nearby areas can evacuate safely. Although we cannot stop eruptions, understanding volcanoes allows us to prepare for them.",16,12.4,A2/B1,수업,2026-02-03,Full range of complex sentence structures; relative clauses with that which and who; subordinate clauses with when while although and so; academic vocabulary includes environment compare result identified monitor
L500-INF-100-001,500-700,560,Transitional,초5,Informational,Endangered Animals,102,Short,"Many animal species around the world are endangered, which means they could disappear forever. When forests are cut down or oceans become polluted, animals lose the habitats that they need to survive. The giant panda, which lives in the bamboo forests of China, was once close to extinction. However, conservation programs have helped its population grow. People who work to protect endangered animals create safe environments where these creatures can recover. If we compare the results of conservation efforts over the past twenty years, we can see real progress. Although challenges remain, every small action helps protect wildlife.",8,12.8,A2/B1,수업,2026-02-03,Relative clauses with which that and who; subordinate clauses with when if and although; academic vocabulary includes endangered species habitats conservation environments compare results
L500-INF-200-001,500-700,640,Transitional,초6,Informational,Space Exploration,201,Medium,"Space exploration has fascinated humans for centuries, although traveling beyond Earth only became possible in the twentieth century. In 1957, the Soviet Union launched Sputnik, which was the first artificial satellite to orbit the Earth. This event sparked a competition between nations that wanted to explore space. When astronaut Neil Armstrong walked on the moon in 1969, it was a historic moment that inspired millions of people. Since then, scientists have sent robots to Mars, discovered new planets outside our solar system, and built the International Space Station. The space station, which orbits Earth every ninety minutes, is a laboratory where astronauts from different countries conduct experiments. They study how the human body reacts to living in space, and they compare results to find better ways to protect astronauts on long missions. Recently, private companies have joined the effort to explore space. Some plan to send tourists into orbit, while others are developing rockets that could carry humans to Mars. If these missions succeed, the way we think about space travel will change completely. Although the challenges are enormous, each discovery brings us closer to understanding the universe. Space exploration teaches us that when humans work together, they can achieve things that once seemed impossible.",16,12.6,A2/B1,수업,2026-02-03,Rich use of relative clauses with which that and who; subordinate clauses with when while if and although; academic vocabulary includes launched artificial competition discovered environments compare results conduct experiments
L500-ARG-100-001,500-700,550,Transitional,초5,Argumentative,Should Homework Be Banned,99,Short,"Some people believe that homework should be banned from schools. Students who spend long hours on homework often feel tired and stressed. When children have no free time, they cannot discover hobbies or enjoy being with their families. Although some teachers argue that homework helps students practice, research shows that too much homework does not always improve results. If schools reduced the amount of homework, students could use that time for creative activities and exercise. A balanced approach, which includes short review tasks instead of heavy assignments, would benefit everyone.",7,14.1,A2/B1,수업,2026-02-03,Relative clauses with that who and which; subordinate clauses with when although and if; academic vocabulary includes discover results research balanced approach
L500-ARG-200-001,500-700,660,Transitional,초6,Argumentative,Screen Time for Kids,202,Medium,"Many parents worry about the amount of time that their children spend in front of screens. While some screen time can be educational, too much may cause problems for young people. Studies show that children who stare at screens for several hours each day are more likely to have trouble sleeping. They also tend to exercise less, which affects their physical health. However, it would be wrong to say that all screen time is harmful. Educational programs and apps that teach coding, science, or languages can be valuable tools for learning. The key is finding a balance between screen activities and other experiences. If families set clear rules about when and how long children can use devices, the results are usually positive. For example, some experts recommend that kids take a fifteen-minute break after every hour of screen use. Parents who encourage outdoor play and reading alongside screen time help their children develop healthy habits. Although technology is an important part of modern life, children also need time to talk with friends, explore nature, and use their imagination. When we compare children who have balanced routines with those who do not, the difference in well-being is significant. A thoughtful approach to screen time benefits the whole family.",15,13.5,A2/B1,수업,2026-02-03,Full range of relative and subordinate clauses; academic vocabulary includes environment compare results significant valuable approach recommend; persuasive structure with evidence and counterargument
