text_id,lexile_band,lexile_score,age_group,grade_hint,genre,topic,word_count,length_type,text_body,sentence_count,avg_sentence_length,vocabulary_band,intended_use,created_date,notes
L100-NAR-050-001,100-300,120,Early Elementary,초1,Narrative,My Pet Cat,51,Micro,"I have a small cat at home. Her name is Mimi. She has very soft white fur. She likes to sleep on my bed at night. I give her food every day. She plays with a little red ball. I love my cat so much. Mimi is my very best friend.",8,6.4,Pre-A1,워밍업,2026-02-03,Micro narrative - 반려동물 묘사
L100-NAR-100-001,100-300,150,Early Elementary,초1,Narrative,A Fun Day at School,100,Short,"Today was a fun day at school. My teacher read us a story about a bear. The bear lived in a big green forest. We drew pictures of the bear. I used brown and green colors. Then we went outside to the playground. I played on the slide with my friend Jina. We ran very fast together. After that we ate our lunch. I had rice and soup. Jina had bread and milk. We talked about our favorite animals. I like dogs and Jina likes rabbits. It was a very happy day. I want to go to school again tomorrow.",15,6.7,Pre-A1,수업,2026-02-03,Short narrative - 학교 일상
L100-NAR-200-001,100-300,200,Early Elementary,초2,Narrative,The Birthday Party,202,Medium,"Today is my birthday. I am seven years old. Mom made a big cake for me. The cake has white cream and red strawberries on top. It looks so pretty. My friends come to my house after school. Jina brings me a pink hair band. Siwoo gives me a toy car. Hana gives me a coloring book. I am so happy. We play games in the living room. First we play hide and seek. I hide behind the sofa. Siwoo finds me very fast. Then we play musical chairs. Hana wins the game. She is very quick. Mom brings the cake to the table. Everyone sings the birthday song for me. I close my eyes and make a wish. I blow out the candles. We eat cake and drink juice. The cake is sweet and soft. After that we go to the park. We run around and play on the swings. The sun is warm and the sky is blue. My friends go home before dinner. I wave goodbye to them. Mom asks me about my day. I tell her it was the best day ever. I hug my mom and say thank you. I go to bed with a big smile.",32,6.3,A1,수업,2026-02-03,Medium narrative - 생일 파티
L100-EXP-050-001,100-300,140,Early Elementary,초1,Expository,Colors Around Us,50,Micro,"Colors are all around us. The sky is blue. Grass is green. Apples can be red or green. The sun is yellow and very bright. Clouds are white and soft. At night the sky turns dark. We see so many colors every day. Colors make our world a pretty place.",9,5.6,Pre-A1,워밍업,2026-02-03,Micro expository - 색깔 개념
L100-EXP-100-001,100-300,180,Early Elementary,초2,Expository,Parts of a Plant,100,Short,"Plants have many parts. Each part has a job to do. The roots are under the ground. They take in water from the soil. The stem is the tall part of the plant. It holds the plant up straight. Water moves up through the stem. The leaves are green and flat. They use sunlight to make food for the plant. The flower is the pretty part. It can be many colors like red or pink. Some plants grow fruit. The fruit has seeds inside it. Seeds can grow into new plants. Plants need sun and water and soil to live.",15,6.7,A1,수업,2026-02-03,Short expository - 식물 구조
L100-PRO-050-001,100-300,130,Early Elementary,초1,Procedural,Making a Sandwich,49,Micro,"You can make a sandwich at home. First get two slices of bread. Put them on a plate. Next put some butter on one slice. Then add cheese and ham on top. Put the other slice of bread over it. Now cut it in half. Your sandwich is ready to eat.",8,6.1,Pre-A1,워밍업,2026-02-03,Micro procedural - 간단 요리
L100-PRO-100-001,100-300,170,Early Elementary,초2,Procedural,Drawing a Face,100,Short,"Drawing a face is easy and fun. First get a paper and a pencil. Draw a big circle for the head. Next draw two small circles for the eyes. Put them near the top of the face. Then draw a little round nose below the eyes. Now draw a curved line for the mouth. You can make it smile or frown. Add two small ears on the sides of the head. Draw some lines on top for hair. You can color the face with your crayons. Give it blue eyes or brown eyes. Now your happy face is all done.",13,7.7,A1,수업,2026-02-03,Short procedural - 그리기 활동
L100-LIT-050-001,100-300,160,Early Elementary,초1,Literary,The Moon,49,Micro,"The moon sits high in the dark night sky. It glows like a big white lamp. The little stars dance around it. The moon watches over sleeping children below. The whole world is quiet and soft. The night is so calm and still. The moon smiles down at us.",7,7.0,Pre-A1,워밍업,2026-02-03,Micro literary - 감각/자연 묘사
L100-LIT-100-001,100-300,210,Early Elementary,초2,Literary,My Favorite Place,103,Short,"My favorite place is under the big tree in my yard. The tree is very old and very tall. Its leaves are green in summer. They turn red and yellow in fall. I sit under the tree and read my books. The wind blows softly through the branches. It sounds like the tree is singing to me. Birds come and sit on the branches too. Sometimes a squirrel runs up the trunk. I feel happy and safe under my tree. When I am sad I go to the tree. It always makes me feel better. I think the tree is my quiet friend.",13,7.9,A1,수업,2026-02-03,Short literary - 장소 묘사/감정
L100-INF-050-001,100-300,150,Early Elementary,초1,Informational,Dogs,49,Micro,"Dogs are very popular pets. They come in many sizes and colors. Some dogs are big and some are small. Dogs can run and jump very well. They wag their tails when they are happy. Dogs need food and water and love. A dog is a very good friend to have.",7,7.0,Pre-A1,워밍업,2026-02-03,Micro informational - 동물 정보
